,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
17161,2008,1,8,2,1333.0,1325,1642.0,1620,WN,568,N287WN,129.0,115.0,99.0,22.0,8.0,MDW,ORF,704,13.0,17.0,0,N,0,8.0,0.0,14.0,0.0,0.0
17169,2008,1,8,2,1728.0,1715,2033.0,2025,WN,2789,N672SW,125.0,130.0,114.0,8.0,13.0,MDW,PHL,668,4.0,7.0,0,N,0,,,,,
17172,2008,1,8,2,2143.0,2135,27.0,25,WN,3927,N649SW,104.0,110.0,92.0,2.0,8.0,MDW,PHL,668,4.0,8.0,0,N,0,,,,,
17175,2008,1,8,2,1527.0,1510,1808.0,1805,WN,921,N795SW,221.0,235.0,204.0,3.0,17.0,MDW,PHX,1444,6.0,11.0,0,N,0,,,,,
17177,2008,1,8,2,1753.0,1725,2039.0,2020,WN,1827,N712SW,226.0,235.0,201.0,19.0,28.0,MDW,PHX,1444,11.0,14.0,0,N,0,19.0,0.0,0.0,0.0,0.0
17181,2008,1,8,2,2113.0,2050,2326.0,2305,WN,337,N901WN,73.0,75.0,58.0,21.0,23.0,MDW,PIT,402,8.0,7.0,0,N,0,19.0,0.0,0.0,0.0,2.0
17183,2008,1,8,2,1543.0,1515,1757.0,1730,WN,2445,N637SW,74.0,75.0,59.0,27.0,28.0,MDW,PIT,402,4.0,11.0,0,N,0,0.0,0.0,0.0,0.0,27.0
17184,2008,1,8,2,1151.0,1115,1357.0,1330,WN,3170,N795SW,66.0,75.0,54.0,27.0,36.0,MDW,PIT,402,4.0,8.0,0,N,0,27.0,0.0,0.0,0.0,0.0
17192,2008,1,8,2,1246.0,1210,1520.0,1455,WN,1429,N411WN,94.0,105.0,85.0,25.0,36.0,MDW,RDU,632,3.0,6.0,0,N,0,25.0,0.0,0.0,0.0,0.0
17193,2008,1,8,2,2036.0,2020,2314.0,2300,WN,3063,N482WN,98.0,100.0,89.0,14.0,16.0,MDW,RDU,632,3.0,6.0,0,N,0,,,,,
17199,2008,1,8,2,1247.0,1240,1507.0,1505,WN,299,N724SW,260.0,265.0,247.0,2.0,7.0,MDW,SAN,1728,4.0,9.0,0,N,0,,,,,
17202,2008,1,8,2,1444.0,1430,1708.0,1655,WN,1188,N269WN,264.0,265.0,248.0,13.0,14.0,MDW,SAN,1728,5.0,11.0,0,N,0,,,,,
17203,2008,1,8,2,1841.0,1835,2106.0,2100,WN,2729,N287WN,265.0,265.0,252.0,6.0,6.0,MDW,SAN,1728,4.0,9.0,0,N,0,,,,,
17204,2008,1,8,2,806.0,750,1105.0,1045,WN,511,N222WN,179.0,175.0,166.0,20.0,16.0,MDW,SAT,1036,4.0,9.0,0,N,0,12.0,0.0,4.0,0.0,4.0
17206,2008,1,8,2,2112.0,2055,2314.0,2300,WN,74,N740SW,62.0,65.0,54.0,14.0,17.0,MDW,SDF,271,3.0,5.0,0,N,0,,,,,
17211,2008,1,8,2,2204.0,2000,12.0,2230,WN,421,N766SW,248.0,270.0,234.0,102.0,124.0,MDW,SEA,1733,7.0,7.0,0,N,0,11.0,0.0,0.0,0.0,91.0
17212,2008,1,8,2,1048.0,1040,1302.0,1310,WN,658,N213WN,254.0,270.0,235.0,-8.0,8.0,MDW,SEA,1733,6.0,13.0,0,N,0,,,,,
17214,2008,1,8,2,1927.0,1915,2217.0,2205,WN,1009,N701GS,290.0,290.0,277.0,12.0,12.0,MDW,SFO,1855,6.0,7.0,0,N,0,,,,,
17215,2008,1,8,2,1522.0,1305,1825.0,1555,WN,1837,N432WN,303.0,290.0,288.0,150.0,137.0,MDW,SFO,1855,4.0,11.0,0,N,0,0.0,0.0,150.0,0.0,0.0
17216,2008,1,8,2,1137.0,950,1425.0,1240,WN,3846,N706SW,288.0,290.0,269.0,105.0,107.0,MDW,SFO,1855,5.0,14.0,0,N,0,0.0,0.0,105.0,0.0,0.0
17219,2008,1,8,2,933.0,925,1150.0,1155,WN,151,N258WN,197.0,210.0,186.0,-5.0,8.0,MDW,SLC,1258,3.0,8.0,0,N,0,,,,,
17222,2008,1,8,2,841.0,825,1105.0,1055,WN,3145,N292WN,264.0,270.0,251.0,10.0,16.0,MDW,SMF,1790,4.0,9.0,0,N,0,,,,,
17230,2008,1,8,2,633.0,625,741.0,725,WN,1586,N744SW,68.0,60.0,53.0,16.0,8.0,MDW,STL,251,5.0,10.0,0,N,0,8.0,0.0,8.0,0.0,0.0
17235,2008,1,8,2,1757.0,1740,2129.0,2115,WN,26,N451WN,152.0,155.0,131.0,14.0,17.0,MDW,TPA,997,3.0,18.0,0,N,0,,,,,
17238,2008,1,8,2,2117.0,2050,37.0,20,WN,514,N288WN,140.0,150.0,131.0,17.0,27.0,MDW,TPA,997,3.0,6.0,0,N,0,1.0,0.0,0.0,0.0,16.0
17241,2008,1,8,2,1050.0,1040,1416.0,1410,WN,1847,N791SW,146.0,150.0,136.0,6.0,10.0,MDW,TPA,997,3.0,7.0,0,N,0,,,,,
17244,2008,1,8,2,1157.0,1150,1317.0,1325,WN,145,N748SW,80.0,95.0,70.0,-8.0,7.0,MHT,BWI,377,4.0,6.0,0,N,0,,,,,
17255,2008,1,8,2,800.0,645,1045.0,950,WN,2719,N449WN,345.0,365.0,332.0,55.0,75.0,MHT,LAS,2356,6.0,7.0,0,N,0,55.0,0.0,0.0,0.0,0.0
17268,2008,1,8,2,706.0,700,848.0,830,WN,1849,N399WN,102.0,90.0,68.0,18.0,6.0,MHT,PHL,290,12.0,22.0,0,N,0,6.0,0.0,12.0,0.0,0.0
17272,2008,1,8,2,1646.0,1635,2030.0,2030,WN,1033,N240WN,344.0,355.0,328.0,0.0,11.0,MHT,PHX,2279,6.0,10.0,0,N,0,,,,,
17276,2008,1,8,2,1129.0,1120,1235.0,1235,WN,521,N255WN,66.0,75.0,50.0,0.0,9.0,MSY,BHM,321,4.0,12.0,0,N,0,,,,,
17280,2008,1,8,2,838.0,825,1153.0,1140,WN,432,N677AA,135.0,135.0,124.0,13.0,13.0,MSY,BWI,998,2.0,9.0,0,N,0,,,,,
17287,2008,1,8,2,1211.0,1205,1456.0,1445,WN,1194,N633SW,105.0,100.0,86.0,11.0,6.0,MSY,FLL,673,4.0,15.0,0,N,0,,,,,
17288,2008,1,8,2,1405.0,1355,1524.0,1505,WN,223,N486WN,79.0,70.0,52.0,19.0,10.0,MSY,HOU,303,3.0,24.0,0,N,0,10.0,0.0,9.0,0.0,0.0
17293,2008,1,8,2,952.0,945,1101.0,1055,WN,1343,N512SW,69.0,70.0,52.0,6.0,7.0,MSY,HOU,303,4.0,13.0,0,N,0,,,,,
17294,2008,1,8,2,746.0,740,850.0,850,WN,1481,N482WN,64.0,70.0,51.0,0.0,6.0,MSY,HOU,303,3.0,10.0,0,N,0,,,,,
17295,2008,1,8,2,1916.0,1840,2019.0,1950,WN,1950,N272WN,63.0,70.0,55.0,29.0,36.0,MSY,HOU,303,3.0,5.0,0,N,0,3.0,0.0,0.0,0.0,26.0
17297,2008,1,8,2,1550.0,1540,1655.0,1650,WN,3321,N431WN,65.0,70.0,53.0,5.0,10.0,MSY,HOU,303,3.0,9.0,0,N,0,,,,,
17300,2008,1,8,2,1653.0,1635,1850.0,1835,WN,1254,N723SW,237.0,240.0,217.0,15.0,18.0,MSY,LAS,1501,9.0,11.0,0,N,0,11.0,0.0,0.0,0.0,4.0
17302,2008,1,8,2,1409.0,1400,1654.0,1640,WN,1170,N635SW,105.0,100.0,79.0,14.0,9.0,MSY,MCO,550,8.0,18.0,0,N,0,,,,,
17303,2008,1,8,2,2039.0,2010,2312.0,2245,WN,2624,N337SW,93.0,95.0,77.0,27.0,29.0,MSY,MCO,550,5.0,11.0,0,N,0,5.0,0.0,0.0,0.0,22.0
17305,2008,1,8,2,1654.0,1645,1900.0,1855,WN,714,N237WN,126.0,130.0,108.0,5.0,9.0,MSY,MDW,825,6.0,12.0,0,N,0,,,,,
17306,2008,1,8,2,1333.0,1230,1559.0,1510,WN,169,N338SW,206.0,220.0,193.0,49.0,63.0,MSY,PHX,1301,4.0,9.0,0,N,0,49.0,0.0,0.0,0.0,0.0
17307,2008,1,8,2,1641.0,1610,1857.0,1830,WN,85,N275WN,76.0,80.0,62.0,27.0,31.0,MSY,TPA,487,5.0,9.0,0,N,0,3.0,0.0,0.0,0.0,24.0
17308,2008,1,8,2,1326.0,1240,1551.0,1505,WN,788,N550WN,85.0,85.0,72.0,46.0,46.0,MSY,TPA,487,4.0,9.0,0,N,0,46.0,0.0,0.0,0.0,0.0
17310,2008,1,8,2,1130.0,1055,1430.0,1410,WN,45,N353SW,120.0,135.0,107.0,20.0,35.0,OAK,ABQ,889,5.0,8.0,0,N,0,12.0,0.0,0.0,0.0,8.0
17312,2008,1,8,2,1929.0,1920,2238.0,2230,WN,527,N787SA,129.0,130.0,106.0,8.0,9.0,OAK,ABQ,889,6.0,17.0,0,N,0,,,,,
17313,2008,1,8,2,1140.0,1120,1759.0,1730,WN,882,N700GS,259.0,250.0,235.0,29.0,20.0,OAK,BNA,1959,7.0,17.0,0,N,0,5.0,0.0,9.0,0.0,15.0
17314,2008,1,8,2,1032.0,1010,1254.0,1240,WN,783,N326SW,82.0,90.0,69.0,14.0,22.0,OAK,BOI,511,2.0,11.0,0,N,0,,,,,
17315,2008,1,8,2,1944.0,1935,2217.0,2200,WN,2612,N464WN,93.0,85.0,68.0,17.0,9.0,OAK,BOI,511,4.0,21.0,0,N,0,0.0,0.0,8.0,0.0,9.0
17316,2008,1,8,2,1635.0,1615,1737.0,1720,WN,346,N426WN,62.0,65.0,47.0,17.0,20.0,OAK,BUR,325,2.0,13.0,0,N,0,0.0,0.0,0.0,0.0,17.0
17319,2008,1,8,2,1145.0,1135,1245.0,1240,WN,891,N408WN,60.0,65.0,45.0,5.0,10.0,OAK,BUR,325,2.0,13.0,0,N,0,,,,,
17320,2008,1,8,2,2031.0,2015,2131.0,2120,WN,1150,N784SW,60.0,65.0,47.0,11.0,16.0,OAK,BUR,325,2.0,11.0,0,N,0,,,,,
17322,2008,1,8,2,1737.0,1705,1834.0,1810,WN,1219,N204WN,57.0,65.0,45.0,24.0,32.0,OAK,BUR,325,2.0,10.0,0,N,0,0.0,0.0,0.0,0.0,24.0
17327,2008,1,8,2,1803.0,1750,1859.0,1855,WN,2550,N413WN,56.0,65.0,44.0,4.0,13.0,OAK,BUR,325,2.0,10.0,0,N,0,,,,,
17332,2008,1,8,2,824.0,805,923.0,910,WN,3772,N294WN,59.0,65.0,46.0,13.0,19.0,OAK,BUR,325,2.0,11.0,0,N,0,,,,,
17333,2008,1,8,2,1318.0,1310,1624.0,1635,WN,494,N771SA,126.0,145.0,112.0,-11.0,8.0,OAK,DEN,957,7.0,7.0,0,N,0,,,,,
17336,2008,1,8,2,637.0,630,950.0,955,WN,1502,N623SW,133.0,145.0,118.0,-5.0,7.0,OAK,DEN,957,6.0,9.0,0,N,0,,,,,
17338,2008,1,8,2,2000.0,1940,2151.0,2140,WN,223,N486WN,111.0,120.0,93.0,11.0,20.0,OAK,GEG,723,5.0,13.0,0,N,0,,,,,
17340,2008,1,8,2,1546.0,1520,2124.0,2100,WN,78,N477WN,218.0,220.0,195.0,24.0,26.0,OAK,HOU,1642,4.0,19.0,0,N,0,14.0,0.0,0.0,0.0,10.0
17344,2008,1,8,2,1255.0,1245,1409.0,1410,WN,500,N382SW,74.0,85.0,63.0,-1.0,10.0,OAK,LAS,407,4.0,7.0,0,N,0,,,,,
17348,2008,1,8,2,2012.0,1945,2131.0,2105,WN,890,N247WN,79.0,80.0,64.0,26.0,27.0,OAK,LAS,407,4.0,11.0,0,N,0,0.0,0.0,0.0,0.0,26.0
17351,2008,1,8,2,1211.0,1125,1338.0,1250,WN,1918,N361SW,87.0,85.0,64.0,48.0,46.0,OAK,LAS,407,6.0,17.0,0,N,0,7.0,0.0,2.0,0.0,39.0
17352,2008,1,8,2,1623.0,1540,1744.0,1705,WN,2632,N455WN,81.0,85.0,63.0,39.0,43.0,OAK,LAS,407,7.0,11.0,0,N,0,13.0,0.0,0.0,0.0,26.0
17356,2008,1,8,2,1219.0,1200,1331.0,1315,WN,75,N636WN,72.0,75.0,52.0,16.0,19.0,OAK,LAX,337,6.0,14.0,0,N,0,0.0,0.0,3.0,0.0,13.0
17360,2008,1,8,2,2008.0,2000,2140.0,2120,WN,252,N650SW,92.0,80.0,52.0,20.0,8.0,OAK,LAX,337,29.0,11.0,0,N,0,0.0,0.0,20.0,0.0,0.0
17363,2008,1,8,2,1515.0,1500,1622.0,1615,WN,495,N241WN,67.0,75.0,52.0,7.0,15.0,OAK,LAX,337,6.0,9.0,0,N,0,,,,,
17365,2008,1,8,2,1745.0,1730,1855.0,1845,WN,925,N686SW,70.0,75.0,49.0,10.0,15.0,OAK,LAX,337,6.0,15.0,0,N,0,,,,,
17366,2008,1,8,2,1445.0,1400,1602.0,1515,WN,1107,N294WN,77.0,75.0,53.0,47.0,45.0,OAK,LAX,337,5.0,19.0,0,N,0,36.0,0.0,2.0,0.0,9.0
17367,2008,1,8,2,2124.0,2100,2236.0,2215,WN,1192,N279WN,72.0,75.0,52.0,21.0,24.0,OAK,LAX,337,7.0,13.0,0,N,0,0.0,0.0,0.0,0.0,21.0
17368,2008,1,8,2,1838.0,1830,1948.0,1945,WN,1485,N364SW,70.0,75.0,54.0,3.0,8.0,OAK,LAX,337,5.0,11.0,0,N,0,,,,,
17375,2008,1,8,2,1828.0,1800,1940.0,1915,WN,3394,N669SW,72.0,75.0,53.0,25.0,28.0,OAK,LAX,337,5.0,14.0,0,N,0,10.0,0.0,0.0,0.0,15.0
17376,2008,1,8,2,1914.0,1900,2022.0,2015,WN,3939,N383SW,68.0,75.0,49.0,7.0,14.0,OAK,LAX,337,6.0,13.0,0,N,0,,,,,
17377,2008,1,8,2,811.0,755,1324.0,1320,WN,3320,N685SW,193.0,205.0,175.0,4.0,16.0,OAK,MCI,1489,6.0,12.0,0,N,0,,,,,
17378,2008,1,8,2,1349.0,1340,1854.0,1905,WN,3829,N274WN,185.0,205.0,170.0,-11.0,9.0,OAK,MCI,1489,5.0,10.0,0,N,0,,,,,
17379,2008,1,8,2,911.0,905,1500.0,1505,WN,79,N488WN,229.0,240.0,212.0,-5.0,6.0,OAK,MDW,1844,7.0,10.0,0,N,0,,,,,
17380,2008,1,8,2,1443.0,1425,2050.0,2025,WN,514,N288WN,247.0,240.0,225.0,25.0,18.0,OAK,MDW,1844,5.0,17.0,0,N,0,0.0,0.0,7.0,0.0,18.0
17383,2008,1,8,2,1740.0,1715,2328.0,2310,WN,2091,N744SW,228.0,235.0,213.0,18.0,25.0,OAK,MDW,1844,5.0,10.0,0,N,0,8.0,0.0,0.0,0.0,10.0
17388,2008,1,8,2,1714.0,1705,1830.0,1820,WN,835,N261WN,76.0,75.0,54.0,10.0,9.0,OAK,ONT,361,3.0,19.0,0,N,0,,,,,
17395,2008,1,8,2,1600.0,1540,1713.0,1655,WN,3765,N383SW,73.0,75.0,53.0,18.0,20.0,OAK,ONT,361,4.0,16.0,0,N,0,0.0,0.0,0.0,0.0,18.0
17400,2008,1,8,2,2016.0,1940,2210.0,2120,WN,829,N338SW,114.0,100.0,96.0,50.0,36.0,OAK,PDX,543,3.0,15.0,0,N,0,13.0,0.0,14.0,0.0,23.0
17401,2008,1,8,2,1228.0,1215,1407.0,1355,WN,2011,N251WN,99.0,100.0,79.0,12.0,13.0,OAK,PDX,543,3.0,17.0,0,N,0,,,,,
17403,2008,1,8,2,1641.0,1635,1925.0,1930,WN,753,N251WN,104.0,115.0,89.0,-5.0,6.0,OAK,PHX,646,4.0,11.0,0,N,0,,,,,
17404,2008,1,8,2,1327.0,1300,1609.0,1550,WN,933,N355SW,102.0,110.0,87.0,19.0,27.0,OAK,PHX,646,4.0,11.0,0,N,0,1.0,0.0,0.0,0.0,18.0
17405,2008,1,8,2,903.0,855,1140.0,1145,WN,1167,N723SW,97.0,110.0,81.0,-5.0,8.0,OAK,PHX,646,5.0,11.0,0,N,0,,,,,
17407,2008,1,8,2,1134.0,1125,1409.0,1415,WN,1686,N778SW,95.0,110.0,83.0,-6.0,9.0,OAK,PHX,646,4.0,8.0,0,N,0,,,,,
17411,2008,1,8,2,756.0,740,852.0,830,WN,2113,N661SW,56.0,50.0,34.0,22.0,16.0,OAK,RNO,180,5.0,17.0,0,N,0,0.0,0.0,6.0,0.0,16.0
17418,2008,1,8,2,1012.0,955,1136.0,1120,WN,1022,N362SW,84.0,85.0,63.0,16.0,17.0,OAK,SAN,446,3.0,18.0,0,N,0,10.0,0.0,0.0,0.0,6.0
17422,2008,1,8,2,1623.0,1550,1738.0,1715,WN,2525,N464WN,75.0,85.0,58.0,23.0,33.0,OAK,SAN,446,3.0,14.0,0,N,0,1.0,0.0,0.0,0.0,22.0
17423,2008,1,8,2,1442.0,1330,1616.0,1455,WN,2719,N449WN,94.0,85.0,58.0,81.0,72.0,OAK,SAN,446,3.0,33.0,0,N,0,0.0,0.0,9.0,0.0,72.0
17424,2008,1,8,2,1629.0,1620,1749.0,1745,WN,2884,N775SW,80.0,85.0,64.0,4.0,9.0,OAK,SAN,446,3.0,13.0,0,N,0,,,,,
17426,2008,1,8,2,2022.0,2010,2141.0,2135,WN,3058,N736SA,79.0,85.0,64.0,6.0,12.0,OAK,SAN,446,2.0,13.0,0,N,0,,,,,
17430,2008,1,8,2,841.0,835,1000.0,1000,WN,3843,N360SW,79.0,85.0,63.0,0.0,6.0,OAK,SAN,446,3.0,13.0,0,N,0,,,,,
17431,2008,1,8,2,1434.0,1415,1637.0,1615,WN,237,N270WN,123.0,120.0,96.0,22.0,19.0,OAK,SEA,671,4.0,23.0,0,N,0,0.0,0.0,3.0,0.0,19.0
17432,2008,1,8,2,1154.0,1145,1350.0,1345,WN,256,N398SW,116.0,120.0,101.0,5.0,9.0,OAK,SEA,671,5.0,10.0,0,N,0,,,,,
17434,2008,1,8,2,1744.0,1735,1950.0,1935,WN,872,N423WN,126.0,120.0,109.0,15.0,9.0,OAK,SEA,671,4.0,13.0,0,N,0,0.0,0.0,6.0,0.0,9.0
17436,2008,1,8,2,2108.0,2055,2300.0,2255,WN,2730,N232WN,112.0,120.0,98.0,5.0,13.0,OAK,SEA,671,4.0,10.0,0,N,0,,,,,
17439,2008,1,8,2,1310.0,1300,1540.0,1540,WN,125,N249WN,90.0,100.0,80.0,0.0,10.0,OAK,SLC,588,2.0,8.0,0,N,0,,,,,
17442,2008,1,8,2,1040.0,1015,1314.0,1300,WN,1678,N766SW,94.0,105.0,78.0,14.0,25.0,OAK,SLC,588,4.0,12.0,0,N,0,,,,,
17443,2008,1,8,2,1648.0,1640,1925.0,1920,WN,2282,N769SW,97.0,100.0,79.0,5.0,8.0,OAK,SLC,588,7.0,11.0,0,N,0,,,,,
17449,2008,1,8,2,758.0,745,914.0,910,WN,2191,N206WN,76.0,85.0,58.0,4.0,13.0,OAK,SNA,371,4.0,14.0,0,N,0,,,,,
17463,2008,1,8,2,1254.0,1245,1413.0,1405,WN,449,N285WN,79.0,80.0,67.0,8.0,9.0,OKC,HOU,419,5.0,7.0,0,N,0,,,,,
17464,2008,1,8,2,1642.0,1600,1809.0,1720,WN,940,N312SW,87.0,80.0,74.0,49.0,42.0,OKC,HOU,419,3.0,10.0,0,N,0,3.0,0.0,7.0,0.0,39.0
17472,2008,1,8,2,1332.0,1305,1445.0,1430,WN,877,N747SA,133.0,145.0,120.0,15.0,27.0,OKC,PHX,833,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,15.0
17476,2008,1,8,2,1730.0,1720,1837.0,1820,WN,484,N384SW,187.0,180.0,176.0,17.0,10.0,OMA,LAS,1099,4.0,7.0,0,N,0,0.0,0.0,7.0,0.0,10.0
17480,2008,1,8,2,856.0,850,1009.0,1010,WN,566,N630WN,73.0,80.0,62.0,-1.0,6.0,OMA,MDW,423,3.0,8.0,0,N,0,,,,,
17486,2008,1,8,2,1204.0,1145,1352.0,1340,WN,555,N514SW,168.0,175.0,150.0,12.0,19.0,OMA,PHX,1037,5.0,13.0,0,N,0,,,,,
17497,2008,1,8,2,924.0,815,1050.0,915,WN,818,N246LV,86.0,60.0,50.0,95.0,69.0,ONT,LAS,197,6.0,30.0,0,N,0,69.0,0.0,26.0,0.0,0.0
17501,2008,1,8,2,617.0,610,722.0,710,WN,3244,N789SW,65.0,60.0,37.0,12.0,7.0,ONT,LAS,197,4.0,24.0,0,N,0,,,,,
17514,2008,1,8,2,1731.0,1720,1853.0,1835,WN,3852,N383SW,82.0,75.0,71.0,18.0,11.0,ONT,OAK,361,3.0,8.0,0,N,0,0.0,0.0,7.0,0.0,11.0
17524,2008,1,8,2,924.0,910,1127.0,1120,WN,2808,N327SW,63.0,70.0,49.0,7.0,14.0,ONT,PHX,325,8.0,6.0,0,N,0,,,,,
17531,2008,1,8,2,1025.0,950,1134.0,1100,WN,1670,N740SW,69.0,70.0,62.0,34.0,35.0,ONT,SJC,333,3.0,4.0,0,N,0,34.0,0.0,0.0,0.0,0.0
17543,2008,1,8,2,1401.0,1335,1517.0,1455,WN,2105,N309SW,76.0,80.0,66.0,22.0,26.0,ONT,SMF,389,4.0,6.0,0,N,0,1.0,0.0,0.0,0.0,21.0
17547,2008,1,8,2,949.0,855,1102.0,1015,WN,3602,N288WN,73.0,80.0,61.0,47.0,54.0,ONT,SMF,389,4.0,8.0,0,N,0,35.0,0.0,0.0,0.0,12.0
17557,2008,1,8,2,1904.0,1835,2058.0,2040,WN,1828,N259WN,114.0,125.0,96.0,18.0,29.0,ORF,MCO,655,5.0,13.0,0,N,0,0.0,0.0,0.0,0.0,18.0
17575,2008,1,8,2,1346.0,1320,1543.0,1525,WN,2377,N665WN,57.0,65.0,45.0,18.0,26.0,PDX,BOI,344,4.0,8.0,0,N,0,0.0,0.0,0.0,0.0,18.0
17578,2008,1,8,2,822.0,815,917.0,915,WN,491,N347SW,55.0,60.0,45.0,2.0,7.0,PDX,GEG,279,4.0,6.0,0,N,0,,,,,
17579,2008,1,8,2,1531.0,1525,1621.0,1620,WN,957,N389SW,50.0,55.0,41.0,1.0,6.0,PDX,GEG,279,3.0,6.0,0,N,0,,,,,
17581,2008,1,8,2,2106.0,2050,2208.0,2150,WN,3155,N356SW,62.0,60.0,44.0,18.0,16.0,PDX,GEG,279,4.0,14.0,0,N,0,0.0,0.0,2.0,0.0,16.0
17584,2008,1,8,2,1513.0,1500,1715.0,1705,WN,2186,N617SW,122.0,125.0,108.0,10.0,13.0,PDX,LAS,762,8.0,6.0,0,N,0,,,,,
17589,2008,1,8,2,2104.0,2025,2233.0,2205,WN,447,N254WN,89.0,100.0,75.0,28.0,39.0,PDX,OAK,543,6.0,8.0,0,N,0,0.0,0.0,0.0,0.0,28.0
17591,2008,1,8,2,1432.0,1425,1559.0,1605,WN,753,N251WN,87.0,100.0,75.0,-6.0,7.0,PDX,OAK,543,5.0,7.0,0,N,0,,,,,
17602,2008,1,8,2,1933.0,1925,2105.0,2110,WN,625,N305SW,92.0,105.0,83.0,-5.0,8.0,PDX,SJC,569,4.0,5.0,0,N,0,,,,,
17614,2008,1,8,2,2051.0,2045,2206.0,2210,WN,2890,N774SW,75.0,85.0,64.0,-4.0,6.0,PDX,SMF,479,4.0,7.0,0,N,0,,,,,
17624,2008,1,8,2,909.0,850,1144.0,1155,WN,1849,N399WN,155.0,185.0,143.0,-11.0,19.0,PHL,FLL,992,3.0,9.0,0,N,0,,,,,
17634,2008,1,8,2,1806.0,1755,2036.0,2040,WN,907,N329SW,150.0,165.0,125.0,-4.0,11.0,PHL,MCO,861,8.0,17.0,0,N,0,,,,,
17636,2008,1,8,2,2052.0,2045,2334.0,2330,WN,2876,N672SW,162.0,165.0,128.0,4.0,7.0,PHL,MCO,861,3.0,31.0,0,N,0,,,,,
17638,2008,1,8,2,724.0,710,832.0,830,WN,142,N283WN,128.0,140.0,113.0,2.0,14.0,PHL,MDW,668,5.0,10.0,0,N,0,,,,,
17642,2008,1,8,2,1917.0,1905,2028.0,2030,WN,587,N415WN,131.0,145.0,105.0,-2.0,12.0,PHL,MDW,668,5.0,21.0,0,N,0,,,,,
17644,2008,1,8,2,1033.0,945,1139.0,1110,WN,2979,N426WN,126.0,145.0,104.0,29.0,48.0,PHL,MDW,668,5.0,17.0,0,N,0,29.0,0.0,0.0,0.0,0.0
17655,2008,1,8,2,1054.0,1045,1406.0,1425,WN,3240,N461WN,312.0,340.0,294.0,-19.0,9.0,PHL,PHX,2075,6.0,12.0,0,N,0,,,,,
17659,2008,1,8,2,2152.0,2120,2303.0,2240,WN,2200,N497WN,71.0,80.0,46.0,23.0,32.0,PHL,PIT,267,6.0,19.0,0,N,0,0.0,0.0,0.0,0.0,23.0
17661,2008,1,8,2,626.0,615,731.0,730,WN,2637,N493WN,65.0,75.0,45.0,1.0,11.0,PHL,PIT,267,6.0,14.0,0,N,0,,,,,
17662,2008,1,8,2,937.0,915,1049.0,1035,WN,2877,N392SW,72.0,80.0,46.0,14.0,22.0,PHL,PIT,267,2.0,24.0,0,N,0,,,,,
17663,2008,1,8,2,2040.0,1955,2142.0,2100,WN,31,N694SW,62.0,65.0,39.0,42.0,45.0,PHL,PVD,238,4.0,19.0,0,N,0,0.0,0.0,0.0,0.0,42.0
17665,2008,1,8,2,703.0,655,802.0,805,WN,636,N639SW,59.0,70.0,43.0,-3.0,8.0,PHL,PVD,238,5.0,11.0,0,N,0,,,,,
17673,2008,1,8,2,2103.0,2045,2234.0,2220,WN,3685,N743SW,91.0,95.0,55.0,14.0,18.0,PHL,RDU,336,4.0,32.0,0,N,0,,,,,
17679,2008,1,8,2,727.0,715,831.0,815,WN,290,N736SA,64.0,60.0,49.0,16.0,12.0,PHX,ABQ,328,3.0,12.0,0,N,0,12.0,0.0,4.0,0.0,0.0
17680,2008,1,8,2,2302.0,2155,2400.0,2255,WN,408,N390SW,58.0,60.0,44.0,65.0,67.0,PHX,ABQ,328,6.0,8.0,0,N,0,64.0,0.0,0.0,0.0,1.0
17681,2008,1,8,2,1458.0,1405,1555.0,1505,WN,555,N514SW,57.0,60.0,44.0,50.0,53.0,PHX,ABQ,328,3.0,10.0,0,N,0,39.0,0.0,0.0,0.0,11.0
17686,2008,1,8,2,1456.0,1450,1604.0,1550,WN,2374,N336SW,68.0,60.0,45.0,14.0,6.0,PHX,ABQ,328,6.0,17.0,0,N,0,,,,,
17688,2008,1,8,2,1049.0,950,1151.0,1050,WN,2787,N653SW,62.0,60.0,49.0,61.0,59.0,PHX,ABQ,328,3.0,10.0,0,N,0,0.0,0.0,2.0,0.0,59.0
17692,2008,1,8,2,1606.0,1600,1907.0,1910,WN,3409,N521SW,121.0,130.0,112.0,-3.0,6.0,PHX,AUS,872,3.0,6.0,0,N,0,,,,,
17693,2008,1,8,2,850.0,840,1200.0,1150,WN,3949,N302SW,130.0,130.0,114.0,10.0,10.0,PHX,AUS,872,3.0,13.0,0,N,0,,,,,
17695,2008,1,8,2,2022.0,2005,21.0,15,WN,109,N444WN,179.0,190.0,168.0,6.0,17.0,PHX,BNA,1448,4.0,7.0,0,N,0,,,,,
17697,2008,1,8,2,1612.0,1555,2013.0,2005,WN,891,N408WN,181.0,190.0,169.0,8.0,17.0,PHX,BNA,1448,5.0,7.0,0,N,0,,,,,
17699,2008,1,8,2,1009.0,950,1558.0,1600,WN,496,N280WN,229.0,250.0,211.0,-2.0,19.0,PHX,BUF,1912,2.0,16.0,0,N,0,,,,,
